dataset,part,model,nbits,group_size,layer,sensitivity
pileval,mlp_gate,Meta-Llama-3-8B,3,32,28,0.0005889945314265788
pileval,mlp_down,Meta-Llama-3-8B,3,32,28,0.00046089597162790596
pileval,attn_in,Meta-Llama-3-8B,3,32,29,0.0003082248440477997
pileval,mlp_gate,Meta-Llama-3-8B,3,32,29,0.0008408137946389616
pileval,mlp_down,Meta-Llama-3-8B,3,32,29,0.0006963260821066797
pileval,attn_in,Meta-Llama-3-8B,3,32,30,0.0005997457192279398
pileval,mlp_gate,Meta-Llama-3-8B,3,32,30,0.0015749160666018724
pileval,mlp_down,Meta-Llama-3-8B,3,32,30,0.0015577140729874372
pileval,attn_in,Meta-Llama-3-8B,3,32,31,0.0008136106189340353
pileval,mlp_gate,Meta-Llama-3-8B,3,32,31,0.006783846765756607
pileval,mlp_down,Meta-Llama-3-8B,3,32,31,0.12424173951148987
pileval,attn_in,Llama-2-7b-hf,3,64,0,1.5155692381085828e-06
pileval,attn_out,Llama-2-7b-hf,3,64,0,2.3838510969653726e-06
pileval,mlp_gate,Llama-2-7b-hf,3,64,0,6.056709480617428e-07
pileval,mlp_down,Llama-2-7b-hf,3,64,0,4.970005647919606e-06
pileval,attn_in,Llama-2-7b-hf,3,64,1,5.622877779387636e-06
pileval,attn_out,Llama-2-7b-hf,3,64,1,8.069297109614126e-06
pileval,mlp_gate,Llama-2-7b-hf,3,64,1,2.3556474843644537e-05
pileval,mlp_down,Llama-2-7b-hf,3,64,1,0.012331870384514332
pileval,attn_in,Llama-2-7b-hf,3,64,2,1.6642638001940213e-05
pileval,attn_out,Llama-2-7b-hf,3,64,2,7.601624929520767e-06
pileval,mlp_gate,Llama-2-7b-hf,3,64,2,1.774707379809115e-05
pileval,mlp_down,Llama-2-7b-hf,3,64,2,2.1837659005541354e-05
pileval,attn_in,Llama-2-7b-hf,3,64,3,3.820676647592336e-05
pileval,attn_out,Llama-2-7b-hf,3,64,3,1.454199809813872e-05
pileval,mlp_gate,Llama-2-7b-hf,3,64,3,4.369132875581272e-05
pileval,mlp_down,Llama-2-7b-hf,3,64,3,4.189203536952846e-05
pileval,attn_in,Llama-2-7b-hf,3,64,4,7.530896982643753e-05
pileval,attn_out,Llama-2-7b-hf,3,64,4,2.88727260340238e-05
pileval,mlp_gate,Llama-2-7b-hf,3,64,4,8.292728307424113e-05
pileval,mlp_down,Llama-2-7b-hf,3,64,4,0.00010303854651283473
pileval,attn_in,Llama-2-7b-hf,3,64,5,0.00012481905287131667
pileval,attn_out,Llama-2-7b-hf,3,64,5,5.740837877965532e-05
pileval,mlp_gate,Llama-2-7b-hf,3,64,5,0.00012975563004147261
pileval,mlp_down,Llama-2-7b-hf,3,64,5,0.00011205601913388819
pileval,attn_in,Llama-2-7b-hf,3,64,6,0.0001673993974691257
pileval,attn_out,Llama-2-7b-hf,3,64,6,7.008948887232691e-05
pileval,mlp_gate,Llama-2-7b-hf,3,64,6,0.0001937421184265986
pileval,mlp_down,Llama-2-7b-hf,3,64,6,0.0001689566415734589
pileval,attn_in,Llama-2-7b-hf,3,64,7,0.00024033586669247597
pileval,attn_out,Llama-2-7b-hf,3,64,7,9.95032605715096e-05
pileval,mlp_gate,Llama-2-7b-hf,3,64,7,0.0002675720606930554
pileval,mlp_down,Llama-2-7b-hf,3,64,7,0.000226622520131059
pileval,attn_in,Llama-2-7b-hf,3,64,8,0.0003565699444152415
pileval,attn_out,Llama-2-7b-hf,3,64,8,0.00014327700773719698
pileval,mlp_gate,Llama-2-7b-hf,3,64,8,0.000332223396981135
pileval,mlp_down,Llama-2-7b-hf,3,64,8,0.00027683679945766926
pileval,attn_in,Llama-2-7b-hf,3,64,9,0.0005272958660498261
pileval,attn_out,Llama-2-7b-hf,3,64,9,0.0001948490971699357
pileval,mlp_gate,Llama-2-7b-hf,3,64,9,0.00039085070602595806
pileval,mlp_down,Llama-2-7b-hf,3,64,9,0.0003201410290785134
pileval,attn_in,Llama-2-7b-hf,3,64,10,0.0005470328615047038
pileval,attn_out,Llama-2-7b-hf,3,64,10,0.0002686232328414917
pileval,mlp_gate,Llama-2-7b-hf,3,64,10,0.00045787382987327874
pileval,mlp_down,Llama-2-7b-hf,3,64,10,0.0003692955360747874
pileval,attn_in,Llama-2-7b-hf,3,64,11,0.0006926613277755678
pileval,attn_out,Llama-2-7b-hf,3,64,11,0.0002755132154561579
pileval,mlp_gate,Llama-2-7b-hf,3,64,11,0.0005191491218283772
pileval,mlp_down,Llama-2-7b-hf,3,64,11,0.0004224902659188956
pileval,attn_in,Llama-2-7b-hf,3,64,12,0.0007409342215396464
pileval,attn_out,Llama-2-7b-hf,3,64,12,0.00032454426400363445
pileval,mlp_gate,Llama-2-7b-hf,3,64,12,0.0005876031355001032
pileval,mlp_down,Llama-2-7b-hf,3,64,12,0.00048264223732985556
pileval,attn_in,Llama-2-7b-hf,3,64,13,0.0006969568785279989
pileval,attn_out,Llama-2-7b-hf,3,64,13,0.00035089754965156317
pileval,mlp_gate,Llama-2-7b-hf,3,64,13,0.0006968479719944298
pileval,mlp_down,Llama-2-7b-hf,3,64,13,0.0005891413893550634
pileval,attn_in,Llama-2-7b-hf,3,64,14,0.0007834317511878908
pileval,attn_out,Llama-2-7b-hf,3,64,14,0.0003962363989558071
pileval,mlp_gate,Llama-2-7b-hf,3,64,14,0.0007846665102988482
pileval,mlp_down,Llama-2-7b-hf,3,64,14,0.0007017967291176319
pileval,attn_in,Llama-2-7b-hf,3,64,15,0.0009412768995389342
pileval,attn_out,Llama-2-7b-hf,3,64,15,0.0004291552468203008
pileval,mlp_gate,Llama-2-7b-hf,3,64,15,0.0009755450882948935
pileval,mlp_down,Llama-2-7b-hf,3,64,15,0.0008792392327450216
pileval,attn_in,Llama-2-7b-hf,3,64,16,0.0010924653615802526
pileval,attn_out,Llama-2-7b-hf,3,64,16,0.0006138230673968792
pileval,mlp_gate,Llama-2-7b-hf,3,64,16,0.0012669956777244806
pileval,mlp_down,Llama-2-7b-hf,3,64,16,0.0012785017024725676
pileval,attn_in,Llama-2-7b-hf,3,64,17,0.0007896984461694956
pileval,attn_out,Llama-2-7b-hf,3,64,17,0.00043672879110090435
pileval,mlp_gate,Llama-2-7b-hf,3,64,17,0.0014061150141060352
pileval,mlp_down,Llama-2-7b-hf,3,64,17,0.0013407571241259575
pileval,attn_in,Llama-2-7b-hf,3,64,18,0.0008632803801447153
pileval,attn_out,Llama-2-7b-hf,3,64,18,0.0005120710120536387
pileval,mlp_gate,Llama-2-7b-hf,3,64,18,0.0016676008235663176
pileval,mlp_down,Llama-2-7b-hf,3,64,18,0.0016111967852339149
pileval,attn_in,Llama-2-7b-hf,3,64,19,0.0008202075841836631
pileval,attn_out,Llama-2-7b-hf,3,64,19,0.00043905762140639126
pileval,mlp_gate,Llama-2-7b-hf,3,64,19,0.0019224855350330472
pileval,mlp_down,Llama-2-7b-hf,3,64,19,0.0018129975069314241
pileval,attn_in,Llama-2-7b-hf,3,64,20,0.0009337561787106097
pileval,attn_out,Llama-2-7b-hf,3,64,20,0.0005190923693589866
pileval,mlp_gate,Llama-2-7b-hf,3,64,20,0.002256288891658187
pileval,mlp_down,Llama-2-7b-hf,3,64,20,0.0022002109326422215
pileval,attn_in,Llama-2-7b-hf,3,64,21,0.0007585252169519663
pileval,attn_out,Llama-2-7b-hf,3,64,21,0.0004818141460418701
pileval,mlp_gate,Llama-2-7b-hf,3,64,21,0.002489602193236351
pileval,mlp_down,Llama-2-7b-hf,3,64,21,0.002220114693045616
pileval,attn_in,Llama-2-7b-hf,3,64,22,0.001224595122039318
