quant_method,dataset,part,model,nbits,group_size,layer,sensitivity
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,25,0.005033968482166529
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,25,0.0038489527069032192
hqq,c4,attn_in,Llama-2-7b-hf,3,128,26,0.0020503827836364508
hqq,c4,attn_out,Llama-2-7b-hf,3,128,26,0.0011458939407020807
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,26,0.005648446269333363
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,26,0.004218643996864557
hqq,c4,attn_in,Llama-2-7b-hf,3,128,27,0.001772370538674295
hqq,c4,attn_out,Llama-2-7b-hf,3,128,27,9.891059016808867e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,27,0.006490008439868689
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,27,0.004780343268066645
hqq,c4,attn_in,Llama-2-7b-hf,3,128,28,0.002427054336294532
hqq,c4,attn_out,Llama-2-7b-hf,3,128,28,0.0012401589192450047
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,28,0.00772490818053484
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,28,0.005963850766420364
hqq,c4,attn_in,Llama-2-7b-hf,3,128,29,0.002046683570370078
hqq,c4,attn_out,Llama-2-7b-hf,3,128,29,0.0011164648458361626
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,29,0.009403485804796219
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,29,0.008864299394190311
hqq,c4,attn_in,Llama-2-7b-hf,3,128,30,0.002405894687399268
hqq,c4,attn_out,Llama-2-7b-hf,3,128,30,0.0015969601226970553
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,30,0.016673244535923004
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,30,0.03008771501481533
hqq,c4,attn_in,Llama-2-7b-hf,3,128,31,0.010730587877333164
hqq,c4,attn_out,Llama-2-7b-hf,3,128,31,0.0025164750404655933
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,31,0.034958481788635254
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,31,0.08376330882310867
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,0,3.0573014555557165e-6
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,0,3.6636567983805435e-6
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,0,8.344591151399072e-7
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,0,7.136275144148385e-6
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,1,8.130258720484562e-6
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,1,1.2794391295756213e-5
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,1,2.2384546173270792e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,1,0.02852078713476658
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,2,1.8451939467922784e-5
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,2,1.0367852155468427e-5
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,2,2.276323539263103e-5
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,2,2.910836337832734e-5
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,3,4.432051719049923e-5
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,3,1.9759028873522766e-5
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,3,5.6469663832103834e-5
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,3,5.373532258090563e-5
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,4,9.080448216991499e-5
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,4,3.836734686046839e-5
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,4,1.0866339289350435e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,4,1.4666683273389935e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,5,1.7632746312301606e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,5,7.63490388635546e-5
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,5,1.6866547230165452e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,5,1.4327987446449697e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,6,2.025837602559477e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,6,9.186880197376013e-5
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,6,2.521155111026019e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,6,2.1584438218269497e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,7,2.8341446886770427e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,7,1.3142224634066224e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,7,3.509726084303111e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,7,2.902369014918804e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,8,4.8127173795364797e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,8,1.8605735385790467e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,8,4.3663635733537376e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,8,3.5564813879318535e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,9,6.133763818070292e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,9,2.5182843091897666e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,9,5.151124205440283e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,9,4.0966898086480796e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,10,6.958264857530594e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,10,3.480982268229127e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,10,6.082780892029405e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,10,4.720875294879079e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,11,7.416457519866526e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,11,3.5708467476069927e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,11,6.836489774286747e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,11,5.403910763561726e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,12,9.082350879907608e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,12,4.176648217253387e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,12,7.695782696828246e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,12,6.17450859863311e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,13,9.354497888125479e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,13,4.5435986248776317e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,13,9.158642496913671e-4
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,13,7.54675711505115e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,14,9.751271572895348e-4
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,14,5.077998503111303e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,14,0.0010314806131646037
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,14,8.964024018496275e-4
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,15,0.0010679402621462941
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,15,5.524447187781334e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,15,0.0012866811593994498
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,15,0.0011245951754972339
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,16,0.0012640788918361068
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,16,7.910772110335529e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,16,0.0016466722590848804
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,16,0.0016716626705601811
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,17,0.0010025618830695748
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,17,5.62962784897536e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,17,0.001821933314204216
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,17,0.0017102345591410995
hqq,pileval,attn_in,Llama-2-7b-hf,3,128,18,0.0010712798684835434
hqq,pileval,attn_out,Llama-2-7b-hf,3,128,18,6.627010880038142e-4
hqq,pileval,mlp_gate,Llama-2-7b-hf,3,128,18,0.0021627622190862894
hqq,pileval,mlp_down,Llama-2-7b-hf,3,128,18,0.0020622466690838337
