model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Llama-2-7b-hf,mlp.up_proj,31,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,31,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,0,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,0,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,0,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,0,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,0,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,0,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,0,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,1,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,1,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,1,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,1,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,1,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,1,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,1,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,2,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,2,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,2,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,2,6.5078125,16777216,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,2,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,2,17.48974609375,45088768,3.25,3,64,8,128,6476005376,6738415616
