model,algo,attempt,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,2_51,2.51,2057.546875,2812,0.71058,0.92404,0.7105,233.96765208244324
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,3_13,3.13,2100.1904296875,2846,0.76386,0.94624,0.7639600000000001,237.93651390075684
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,3_25,3.25,2113.34033203125,2894,0.76838,0.94824,0.76838,237.4013113975525
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,3_51,3.51,2153.734375,3014,0.77136,0.94954,0.7714000000000001,237.53116869926453
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,4_13,4.13,2150.71533203125,3066,0.77718,0.95174,0.777,233.4790015220642
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,4_25,4.25,2219.01123046875,3354,0.77774,0.95206,0.7775599999999999,233.44268584251404
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,4_51,4.51,2479.63623046875,3632,0.77832,0.95162,0.7782800000000001,233.3893210887909
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,8_13,8.13,2719.13623046875,3632,0.77958,0.95236,0.77926,233.34682178497317
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,8_25,8.25,2771.66748046875,3570,0.77944,0.9523,0.77924,233.72688603401184
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,8_51,8.51,2495.12158203125,3134,0.77938,0.95238,0.7794000000000001,233.78720664978027
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,2_13,2.13,2002.51220703125,2724,0.5666,0.8277,0.56624,234.45083475112915
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,2_25,2.25,2027.94970703125,2798,0.66684,0.89886,0.66696,234.18982982635495
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,2_51,2.51,2058.80908203125,2798,0.71126,0.92462,0.71128,234.70305347442627
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,3_13,3.13,2100.60595703125,2846,0.76452,0.94672,0.76492,237.54483103752136
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,3_25,3.25,2112.69970703125,2894,0.76862,0.94864,0.76882,237.47440004348755
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,3_51,3.51,2151.703125,3014,0.771,0.94962,0.7709600000000001,237.78458642959595
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-3,4_13,4.13,2157.44873046875,3086,0.77724,0.9516,0.77722,233.80447697639465
