layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
1,mlp.up_proj,3,32,8,128,18.34375,18.8544921875,45088768,3.4447561314119977,0.065165138963945,8.488156890962273e-5
1,mlp.up_proj,3,64,8,128,21.421875,17.48974609375,45088768,3.4447561314119977,0.065165138963945,2.3556474843644537e-5
1,mlp.up_proj,3,128,8,128,24.265625,16.807373046875,45088768,3.4447561314119977,0.065165138963945,2.238454617327e-4
1,mlp.up_proj,4,32,8,128,8.5546875,24.2294921875,45088768,3.4447561314119977,0.065165138963945,9.912624591379426e-6
1,mlp.up_proj,4,64,8,128,10,22.86474609375,45088768,3.4447561314119977,0.065165138963945,3.190103598171845e-5
1,mlp.up_proj,4,128,8,128,11.328125,22.182373046875,45088768,3.4447561314119977,0.065165138963945,1.4629394172516186e-5
1,mlp.up_proj,8,32,8,128,0.51806640625,45.7294921875,45088768,3.4447561314119977,0.065165138963945,6.850477234365826e-7
1,mlp.up_proj,8,64,8,128,0.60498046875,44.36474609375,45088768,3.4447561314119977,0.065165138963945,7.333440521506418e-7
1,mlp.up_proj,8,128,8,128,0.6826171875,43.682373046875,45088768,3.4447561314119977,0.065165138963945,4.134838889058301e-7
1,mlp.down_proj,2,32,8,128,43.4375,13.4794921875,45088768,7.580293538212413,0.8237591957415714,0.01189602818340063
1,mlp.down_proj,2,64,8,128,50.625,12.11474609375,45088768,7.580293538212413,0.8237591957415714,0.0161565076559782
1,mlp.down_proj,2,128,8,128,57.125,11.432373046875,45088768,7.580293538212413,0.8237591957415714,0.03379787504673004
1,mlp.down_proj,3,32,8,128,18.59375,18.8544921875,45088768,7.580293538212413,0.8237591957415714,0.0089641697704792
1,mlp.down_proj,3,64,8,128,21.703125,17.48974609375,45088768,7.580293538212413,0.8237591957415714,0.01233187038451433
1,mlp.down_proj,3,128,8,128,24.546875,16.807373046875,45088768,7.580293538212413,0.8237591957415714,0.02852078713476658
1,mlp.down_proj,4,32,8,128,8.6796875,24.2294921875,45088768,7.580293538212413,0.8237591957415714,0.00851967744529247
1,mlp.down_proj,4,64,8,128,10.1328125,22.86474609375,45088768,7.580293538212413,0.8237591957415714,0.01109052263200283
1,mlp.down_proj,4,128,8,128,11.46875,22.182373046875,45088768,7.580293538212413,0.8237591957415714,0.02054756321012973
1,mlp.down_proj,8,32,8,128,0.525390625,45.7294921875,45088768,7.580293538212413,0.8237591957415714,2.8157580527476e-4
1,mlp.down_proj,8,64,8,128,0.61328125,44.36474609375,45088768,7.580293538212413,0.8237591957415714,5.4984929738566e-4
1,mlp.down_proj,8,128,8,128,0.69189453125,43.682373046875,45088768,7.580293538212413,0.8237591957415714,5.4130487842485e-4
2,self_attn.q_proj,2,32,8,128,43.4375,5.015625,16777216,5.845498006156931,0.025639763147628055,3.4078941098414e-4
2,self_attn.q_proj,2,64,8,128,51.46875,4.5078125,16777216,5.845498006156931,0.025639763147628055,0.00122826313599944
2,self_attn.q_proj,2,128,8,128,60.75,4.25390625,16777216,5.845498006156931,0.025639763147628055,4.5731125283055e-4
2,self_attn.q_proj,3,32,8,128,18.703125,7.015625,16777216,5.845498006156931,0.025639763147628055,9.743419468577486e-6
2,self_attn.q_proj,3,64,8,128,22.28125,6.5078125,16777216,5.845498006156931,0.025639763147628055,1.6642638001940213e-5
2,self_attn.q_proj,3,128,8,128,27.3125,6.25390625,16777216,5.845498006156931,0.025639763147628055,1.8451939467922784e-5
2,self_attn.q_proj,4,32,8,128,8.7265625,9.015625,16777216,5.845498006156931,0.025639763147628055,2.906428790083737e-6
2,self_attn.q_proj,4,64,8,128,10.40625,8.5078125,16777216,5.845498006156931,0.025639763147628055,4.232647825119784e-6
2,self_attn.q_proj,4,128,8,128,12.7734375,8.25390625,16777216,5.845498006156931,0.025639763147628055,5.587065970757976e-6
2,self_attn.q_proj,8,32,8,128,0.5283203125,17.015625,16777216,5.845498006156931,0.025639763147628055,8.557089259397799e-9
2,self_attn.q_proj,8,64,8,128,0.62939453125,16.5078125,16777216,5.845498006156931,0.025639763147628055,1.1800739052603149e-8
2,self_attn.q_proj,8,128,8,128,0.76953125,16.25390625,16777216,5.845498006156931,0.025639763147628055,1.4833548611647984e-8
2,self_attn.v_proj,2,32,8,128,22.046875,5.015625,16777216,3.1704948733015765,0.030028689453159854,3.4078941098414e-4
2,self_attn.v_proj,2,64,8,128,25.75,4.5078125,16777216,3.1704948733015765,0.030028689453159854,0.00122826313599944
2,self_attn.v_proj,2,128,8,128,29.109375,4.25390625,16777216,3.1704948733015765,0.030028689453159854,4.5731125283055e-4
2,self_attn.v_proj,3,32,8,128,9.421875,7.015625,16777216,3.1704948733015765,0.030028689453159854,9.743419468577486e-6
2,self_attn.v_proj,3,64,8,128,11.015625,6.5078125,16777216,3.1704948733015765,0.030028689453159854,1.6642638001940213e-5
2,self_attn.v_proj,3,128,8,128,12.46875,6.25390625,16777216,3.1704948733015765,0.030028689453159854,1.8451939467922784e-5
2,self_attn.v_proj,4,32,8,128,4.39453125,9.015625,16777216,3.1704948733015765,0.030028689453159854,2.906428790083737e-6
2,self_attn.v_proj,4,64,8,128,5.140625,8.5078125,16777216,3.1704948733015765,0.030028689453159854,4.232647825119784e-6
2,self_attn.v_proj,4,128,8,128,5.81640625,8.25390625,16777216,3.1704948733015765,0.030028689453159854,5.587065970757976e-6
2,self_attn.v_proj,8,32,8,128,0.26611328125,17.015625,16777216,3.1704948733015765,0.030028689453159854,8.557089259397799e-9
2,self_attn.v_proj,8,64,8,128,0.31103515625,16.5078125,16777216,3.1704948733015765,0.030028689453159854,1.1800739052603149e-8
2,self_attn.v_proj,8,128,8,128,0.3505859375,16.25390625,16777216,3.1704948733015765,0.030028689453159854,1.4833548611647984e-8
2,self_attn.k_proj,2,32,8,128,45.875,5.015625,16777216,5.422568329046552,0.054401077663606495,3.4078941098414e-4
2,self_attn.k_proj,2,64,8,128,54.3125,4.5078125,16777216,5.422568329046552,0.054401077663606495,0.00122826313599944
2,self_attn.k_proj,2,128,8,128,63.65625,4.25390625,16777216,5.422568329046552,0.054401077663606495,4.5731125283055e-4
