model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-3,13.5734,19.4111,3.67,3.66,2.949051856994629,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-3,12.5623,18.5489,3.72,3.71,3.0193231105804443,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-3,10.0354,14.3514,6.17,6.13,8.26595950126648,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-3,10.3228,15.3229,5.95,5.93,8.827926397323608,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-3,8.6975,12.0396,10.32,10.3,20.340593814849854,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-3,9.2834,13.6222,6.46,6.38,9.023015022277832,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-3,8.5377,11.9354,10.54,10.52,19.76762008666992,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-3,9.1175,12.4651,10.35,10.26,21.47712755203247,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-3,10.3717,14.8023,6.01,6,8.503159999847412,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-3,12.3841,17.5469,3.78,3.78,2.814797163009644,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-3,8.5539,13.2885,9.93,9.84,22.49357557296753,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-3,9.4054,13.807,6.23,6.15,9.553017377853394,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-3,8.5025,11.8966,10.82,10.8,19.60882139205933,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-3-0,9.3633,13.7047,6.32,6.25,7.957388877868652,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-3-0,8.919,12.8608,10.08,9.99,22.40153479576111,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-3-0,12.4207,17.7075,3.76,3.76,2.804124355316162,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-3-0,11.9674,17.347,3.84,3.84,2.8224897384643555,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-3-0,14.5859,20.3724,3.65,3.64,3.763980865478516,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-3-0,13.6938,19.4011,3.68,3.66,3.71304988861084,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-3-0,12.5601,18.5044,3.73,3.72,3.684860944747925,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-3-0,10.0317,14.3507,6.17,6.14,8.322108745574951,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-3-0,10.3075,15.3039,5.95,5.93,8.852587938308716,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-3-0,8.6999,12.0271,10.39,10.38,21.098408699035645,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-3-0,9.2838,13.6222,6.46,6.38,9.321361780166626,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-3-0,8.5378,11.9355,10.54,10.52,20.595695734024048,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-3-0,9.0934,12.4701,10.36,10.28,22.13469386100769,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-3-0,10.3849,14.8034,6.02,6,10.467967987060549,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-3-0,12.388,17.543,3.79,3.79,3.2813189029693604,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-3-0,8.5142,13.2511,9.93,9.84,23.22411298751831,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-3-0,9.3986,13.8015,6.25,6.18,9.782310009002686,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-3-0,8.4996,11.8969,10.82,10.81,19.817223072052,9000000000
