model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-3-1,6.0732,9.4081,5.69,5.66,26.14421248435974,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-3-1,5.6118,7.5346,3.93,3.89,22.03713750839233,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-3-1,5.3447,7.1557,3.74,3.69,21.40931010246277,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-3-1,7.7725,12.3136,5.03,5.01,27.164144277572632,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-3-1,4.6968,6.5384,7.14,7.04,39.14495372772217,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-3-1,5.2848,7.0715,4.03,3.98,18.638065814971924,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-3-1,5.3073,7.1108,3.84,3.79,19.98361897468567,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-3-1,5.8003,7.7832,3.33,3.33,22.3991801738739,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-3-1,4.6913,6.5123,7.45,7.42,37.711960792541504,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-3-1,6.1907,9.6,5.45,5.45,25.316331148147583,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-3-1,9.2544,14.8045,4.72,4.71,29.99376678466797,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-3-1,4.8836,6.7767,7.3,7.27,44.00428533554077,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-3-1,6.1772,8.3595,3.12,3.05,23.4298734664917,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-3-1,6.3767,9.9294,5.35,5.35,30.864617824554443,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-3-2,4.734,6.5639,7.04,7,39.99402856826782,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-3-2,7.073,11.1258,5.65,5.62,24.306841373443604,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-3-2,4.9659,6.9123,6.26,6.19,44.01328825950623,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-3-2,5.1237,7.1078,,,44.84763741493225,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-3-2,6.0732,9.4071,5.72,5.69,26.94248914718628,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-3-2,5.5961,7.5002,3.93,3.89,21.25264263153076,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-3-2,5.3396,7.1523,3.84,3.79,21.82846450805664,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-3-2,7.7771,12.3111,5.03,5.02,26.993874311447144,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-3-2,4.6962,6.5352,7.29,7.19,38.98307919502258,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-3-2,5.2846,7.0695,4.13,4.08,18.65983366966248,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-3-2,5.3055,7.1082,3.93,3.88,19.90946936607361,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-3-2,5.7907,7.7552,3.35,3.34,21.85508966445923,7000000000
